stage,hole_cards,comm_cards,hand_potential,hand_strength,action
RIVER,"['Jc', 'Th']","['8d', 'As', 'Kh', 'Ks', '2h']",0.5234521575984991,8,Player IlxxxlI folds
PREFLOP,"['Ah', 'Ac']",-1,2.32,-1,'Player IlxxxlI raises (1.50)'
PREFLOP,"['3h', 'Ad']",-1,-0.13,-1,
PREFLOP,"['9d', '4s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Td', 'Kh']",-1,0.01,-1, 'Player IlxxxlI raises (1.40)'
PREFLOP,"['9h', '8d']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['Ah', 'Qh']",-1,0.59,-1,'Player IlxxxlI raises (1.25)'
FLOP,"['Ah', 'Qh']","['Td', '2h', 'Th']",0.43393192173679973,8, 'Player IlxxxlI bets (1.05)'
PREFLOP,"['Jc', '9d']",-1,-0.09,-1,Player IlxxxlI folds
PREFLOP,"['Kd', 'Ad']",-1,0.78,-1, 'Player IlxxxlI raises (1.50)'
PREFLOP,"['Ks', 'Js']",-1,0.29,-1, 'Player IlxxxlI raises (1.25)'
PREFLOP,"['Ac', '6s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['7s', 'Tc']",-1,-0.10,-1, 'Player IlxxxlI checks'
FLOP,"['7s', 'Tc']","['5c', '4h', '7c']",0.32390779951755566,8, 'Player IlxxxlI bets (0.50)'
TURN,"['7s', 'Tc']","['5c', '4h', '7c', 'Qd']",0.33302063789868663,8, 'Player IlxxxlI checks'
RIVER,"['7s', 'Tc']","['5c', '4h', '7c', 'Qd', '9c']",0.33342267488608957,8, 'Player IlxxxlI checks'
PREFLOP,"['Jh', 'Qc']",-1,0.03,-1,Player IlxxxlI folds
PREFLOP,"['4d', '9s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Qc', '2d']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['5s', 'Ah']",-1,-0.12,-1, 'Player IlxxxlI calls (1)'
FLOP,"['5s', 'Ah']","['Jh', '9d', '2s']",0.12690967569016354,9, 'Player IlxxxlI checks'
TURN,"['5s', 'Ah']","['Jh', '9d', '2s', '4s']",0.127177700348432,9, 'Player IlxxxlI bets (2.06)'
RIVER,"['5s', 'Ah']","['Jh', '9d', '2s', '4s', '7c']",0.12824979898150635,9, 'Player IlxxxlI checks'
PREFLOP,"['6s', '6d']",-1,0.07,-1, 'Player IlxxxlI calls (1.50)'
FLOP,"['6s', '6d']","['3c', 'Qh', '5c']",0.3008576789064594,8,Player IlxxxlI folds
PREFLOP,"['2h', '7s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['4s', '3h']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['2d', 'Qd']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['6c', '7c']",-1,-0.03,-1,Player IlxxxlI folds
PREFLOP,"['6c', 'Ks']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Ah', '3c']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['Qs', '7s']",-1,-0.06,-1,
PREFLOP,"['Jc', '7d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['7d', '4c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Ks', 'Jh']",-1,0.08,-1, 'Player IlxxxlI raises (1.25)'
FLOP,"['Ks', 'Jh']","['6c', 'Qd', 'Qh']",0.48740284106137766,8, 'Player IlxxxlI checks'
TURN,"['Ks', 'Jh']","['6c', 'Qd', 'Qh', '7c']",0.4875368533905119,8, 'Player IlxxxlI checks'
PREFLOP,"['6c', '7h']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['6h', 'Jh']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['3c', 'Jd']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['9d', '7s']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['Ac', '4s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Ad', '2s']",-1,-0.15,-1,Player IlxxxlI folds
PREFLOP,"['Qh', '9h']",-1,0.05,-1,'Player IlxxxlI raises (1.25)'
PREFLOP,"['6h', '8c']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['2d', 'Ac']",-1,-0.15,-1,Player IlxxxlI folds
PREFLOP,"['8c', 'Kc']",-1,0.01,-1,Player IlxxxlI folds
PREFLOP,"['4s', 'Kc']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['Ad', 'Jc']",-1,0.19,-1, 'Player IlxxxlI raises (1.25)'
FLOP,"['Ad', 'Jc']","['Tc', 'Ah', '5h']",0.5403377110694184,8, 'Player IlxxxlI bets (1.05)'
PREFLOP,"['6s', '8c']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['Qd', '4d']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['As', '4s']",-1,0.05,-1, 'Player IlxxxlI raises (0.62)'
FLOP,"['As', '4s']","['Kd', 'Kc', '7h']",0.519163763066202,8, 'Player IlxxxlI checks'
TURN,"['As', '4s']","['Kd', 'Kc', '7h', 'Ac']",0.6685875100509246,7, 'Player IlxxxlI bets (0.98)'
PREFLOP,"['5h', '3s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['3h', '5h']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['6d', '6c']",-1,0.07,-1,
PREFLOP,"['Td', 'Qs']",-1,-0.02,-1,Player IlxxxlI folds
PREFLOP,"['Th', 'Kc']",-1,0.01,-1,Player IlxxxlI folds
PREFLOP,"['6h', 'Jd']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['8d', 'Ts']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['5c', '9d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['6s', '5s']",-1,-0.07,-1, 'Player IlxxxlI calls (0.50)'
FLOP,"['6s', '5s']","['Kh', '9h', '8h']",0.06955239882069153,9, 'Player IlxxxlI checks'
TURN,"['6s', '5s']","['Kh', '9h', '8h', '6h']",0.30782632002144195,8, 'Player IlxxxlI bets (0.50)'
PREFLOP,"['3d', '8d']",-1,-0.15,-1,Player IlxxxlI folds
PREFLOP,"['8d', '5s']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['7c', '6h']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['8d', '5h']",-1,-0.11,-1, 'Player IlxxxlI checks'
FLOP,"['8d', '5h']","['9c', '5d', '9h']",0.5904583221656392,7, 'Player IlxxxlI checks'
TURN,"['8d', '5h']","['9c', '5d', '9h', '6h']",0.5904583221656392,7, 'Player IlxxxlI checks'
RIVER,"['8d', '5h']","['9c', '5d', '9h', '6h', '3d']",0.5904583221656392,7,Player IlxxxlI folds
PREFLOP,"['8c', '2d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['5d', '4c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['4s', '2h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Th', 'Kh']",-1,0.20,-1, 'Player IlxxxlI raises (1.15)'
PREFLOP,"['Ks', '3s']",-1,-0.08,-1, 'Player IlxxxlI raises (1.40)'
FLOP,"['Ks', '3s']","['Ah', 'Ad', '6h']",0.5479764138300723,8, 'Player IlxxxlI bets (5)'
TURN,"['Ks', '3s']","['Ah', 'Ad', '6h', '7c']",0.5489145001340123,8, 'Player IlxxxlI checks'
RIVER,"['Ks', '3s']","['Ah', 'Ad', '6h', '7c', '2d']",0.5489145001340123,8, 'Player IlxxxlI checks'
PREFLOP,"['Ad', 'Ah']",-1,2.32,-1, 'Player IlxxxlI raises (1.15)'
PREFLOP,"['8c', '4h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['6h', 'Th']",-1,-0.11,-1,
PREFLOP,"['2d', '5s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['5c', '2c']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['8d', 'Qs']",-1,-0.11,-1,
PREFLOP,"['9h', '7h']",-1,-0.04,-1,Player IlxxxlI folds
PREFLOP,"['9d', '8d']",-1,0.00,-1, 'Player IlxxxlI raises (1.15)'
PREFLOP,"['8c', '7d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['7h', 'Ah']",-1,0.08,-1,Player IlxxxlI folds
PREFLOP,"['Qc', 'Qh']",-1,1.22,-1,Player IlxxxlI folds
PREFLOP,"['5h', 'Kc']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['3c', '6h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Jc', '6s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['8c', '9h']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['5h', '6h']",-1,-0.07,-1, 'Player IlxxxlI calls (0.15)'
FLOP,"['5h', '6h']","['9c', '7d', '9h']",0.3800589654248191,8, 'Player IlxxxlI checks'
TURN,"['5h', '6h']","['9c', '7d', '9h', 'Tc']",0.3840793352988475,8, 'Player IlxxxlI checks'
RIVER,"['5h', '6h']","['9c', '7d', '9h', 'Tc', '3c']",0.3840793352988475,8, 'Player IlxxxlI bets (1.07)'
PREFLOP,"['3d', 'Qs']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['Jh', '4c']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['9h', '9d']",-1,0.38,-1,'Player IlxxxlI raises (0.75)'
FLOP,"['9h', '9d']","['3c', '8s', 'Ts']",0.3843473599571161,8, 'Player IlxxxlI checks'
TURN,"['9h', '9d']","['3c', '8s', 'Ts', 'Ac']",0.40324309836504957,8, 'Player IlxxxlI checks'
RIVER,"['9h', '9d']","['3c', '8s', 'Ts', 'Ac', 'Kc']",0.4065934065934066,8, 'Player IlxxxlI checks'
PREFLOP,"['4h', '7h']",-1,-0.11,-1, 'Player IlxxxlI checks'
FLOP,"['4h', '7h']","['9h', '8c', 'Tc']",0.015947467166979368,9, 'Player IlxxxlI checks'
TURN,"['4h', '7h']","['9h', '8c', 'Tc', '7d']",0.3259179844545699,8, 'Player IlxxxlI checks'
RIVER,"['4h', '7h']","['9h', '8c', 'Tc', '7d', 'Ad']",0.3442776735459663,8, 'Player IlxxxlI checks'
PREFLOP,"['Ks', '9h']",-1,-0.07,-1,Player IlxxxlI folds
PREFLOP,"['Kd', '5h']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['Td', '7d']",-1,-0.05,-1,Player IlxxxlI folds
PREFLOP,"['2d', '2c']",-1,-0.09,-1, 'Player IlxxxlI raises (1.40)'
FLOP,"['2d', '2c']","['9c', '7s', '2h']",0.6719378182792817,6, 'Player IlxxxlI bets (1.04)'
PREFLOP,"['3s', '9c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['2h', 'Ah']",-1,0.00,-1,'Player IlxxxlI raises (0.75)'
PREFLOP,"['Qd', 'Qs']",-1,1.22,-1, 'Player IlxxxlI raises (6.15)'
PREFLOP,"['8d', 'Qh']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['9d', '6c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['8c', '2h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['4d', '7d']",-1,-0.11,-1,
PREFLOP,"['Ac', 'Kd']",-1,0.51,-1, 'Player IlxxxlI calls (0.75)'
FLOP,"['Ac', 'Kd']","['Th', 'Jh', 'Qh']",0.7855802733851515,5, 'Player IlxxxlI bets (1.12)'
PREFLOP,"['3d', '6c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Ah', 'Ks']",-1,0.51,-1, 'Player IlxxxlI raises (1.15)'
FLOP,"['Ah', 'Ks']","['2d', '9c', '6h']",0.1546502278209595,9, 'Player IlxxxlI checks'
TURN,"['Ah', 'Ks']","['2d', '9c', '6h', 'Qd']",0.16858751005092465,9, 'Player IlxxxlI bets (1.62)'
PREFLOP,"['4h', 'Qh']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['Jd', 'Ah']",-1,0.19,-1,'Player IlxxxlI raises (1.50)'
PREFLOP,"['Jh', '7c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Td', 'Js']",-1,-0.03,-1,Player IlxxxlI folds
PREFLOP,"['Ad', '8h']",-1,-0.07,-1,Player IlxxxlI folds
PREFLOP,"['Ks', 'Td']",-1,0.01,-1,Player IlxxxlI folds
PREFLOP,"['8d', '4c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Qh', '6c']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['4d', 'Jd']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['8c', '7h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['6h', '8d']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['5c', '4d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['7s', 'Kc']",-1,-0.11,-1, 'Player IlxxxlI calls (0.50)'
FLOP,"['7s', 'Kc']","['Ad', '9d', 'As']",0.5505226480836236,8, 'Player IlxxxlI checks'
TURN,"['7s', 'Kc']","['Ad', '9d', 'As', '8d']",0.550656660412758,8, 'Player IlxxxlI checks'
PREFLOP,"['8s', 'Qh']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['4c', '5s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Qd', 'Jh']",-1,0.03,-1, 'Player IlxxxlI raises (1.40)'
PREFLOP,"['6c', '7d']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['3d', '3h']",-1,-0.07,-1,Player IlxxxlI folds
PREFLOP,"['5d', '2d']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['Kh', 'Ah']",-1,0.78,-1, 'Player IlxxxlI allin (60.33)'
PREFLOP,"['Qh', '8c']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['Ac', '9s']",-1,-0.03,-1,Player IlxxxlI folds
PREFLOP,"['3c', '5d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Kc', '2s']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['8c', 'Jd']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['As', '2s']",-1,0.00,-1, 'Player IlxxxlI raises (0.58)'
PREFLOP,"['8s', '2s']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['8h', '9s']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['6c', 'Qh']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['Ad', 'Qd']",-1,0.59,-1, 'Player IlxxxlI raises (2.35)'
PREFLOP,"['Kd', '7d']",-1,-0.00,-1, 'Player IlxxxlI raises (1.15)'
FLOP,"['Kd', '7d']","['2c', '9h', 'Jh']",0.0838917180380595,9, 'Player IlxxxlI checks'
TURN,"['Kd', '7d']","['2c', '9h', 'Jh', '7s']",0.3391852050388636,8, 'Player IlxxxlI bets (1.21)'
PREFLOP,"['8h', '5d']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['Tc', '7d']",-1,-0.10,-1,
PREFLOP,"['8h', '5d']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['4d', '7c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['4s', '2d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Qs', 'Ks']",-1,0.39,-1, 'Player IlxxxlI raises (4.50)'
PREFLOP,"['Ts', 'Kd']",-1,0.01,-1,Player IlxxxlI folds
PREFLOP,"['Kh', 'Js']",-1,0.08,-1,Player IlxxxlI folds
PREFLOP,"['7h', 'Tc']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['7h', '8h']",-1,-0.02,-1, 'Player IlxxxlI calls (0.25)'
PREFLOP,"['7d', '7s']",-1,0.16,-1, 'Player IlxxxlI raises (1.15)'
PREFLOP,"['9d', '7h']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['Ts', '4c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['As', '7c']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['As', '2s']",-1,0.00,-1,
PREFLOP,"['4h', '5d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Tc', 'Ac']",-1,0.32,-1, 'Player IlxxxlI calls (0.50)'
FLOP,"['Tc', 'Ac']","['2c', '6d', 'Qh']",0.14138300723666575,9, 'Player IlxxxlI checks'
TURN,"['Tc', 'Ac']","['2c', '6d', 'Qh', 'As']",0.5452961672473868,8, 'Player IlxxxlI bets (0.95)'
RIVER,"['Tc', 'Ac']","['2c', '6d', 'Qh', 'As', '9d']",0.5456982042347895,8, 'Player IlxxxlI bets (1.85)'
PREFLOP,"['4d', '7c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['6h', '3c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['6h', 'Th']",-1,-0.11,-1, 'Player IlxxxlI calls (1)'
FLOP,"['6h', 'Th']","['4c', '4h', '8c']",0.23653176092200479,8, 'Player IlxxxlI bets (0.95)'
PREFLOP,"['3s', '6s']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['2d', '9s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['5d', 'Jd']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['8c', '6s']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['6d', '9s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['6c', '3d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['As', '5h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Ts', '6c']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['3d', '3h']",-1,-0.07,-1, 'Player IlxxxlI raises (0.62)'
FLOP,"['3d', '3h']","['Jc', '9h', '4c']",0.21026534441168587,8, 'Player IlxxxlI checks'
TURN,"['3d', '3h']","['Jc', '9h', '4c', '8h']",0.21080139372822304,8,Player IlxxxlI folds
PREFLOP,"['3s', '8s']",-1,-0.15,-1,Player IlxxxlI folds
PREFLOP,"['Ah', 'Kh']",-1,0.78,-1, 'Player IlxxxlI raises (3.75)'
PREFLOP,"['2d', '9d']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['9c', '6d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['3c', 'Ac']",-1,0.02,-1, 'Player IlxxxlI checks'
FLOP,"['3c', 'Ac']","['Jh', '8d', 'Tc']",0.13146609488072902,9, 'Player IlxxxlI checks'
PREFLOP,"['Jh', '5c']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['8s', 'Tc']",-1,-0.10,-1,
PREFLOP,"['Ah', '4s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['9s', 'Qd']",-1,-0.08,-1,Player IlxxxlI folds
PREFLOP,"['6s', '5c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Qd', '3d']",-1,-0.10,-1, 'Player IlxxxlI calls (0.15)'
FLOP,"['Qd', '3d']","['9h', 'Kd', 'Ac']",0.16818547306352183,9, 'Player IlxxxlI checks'
PREFLOP,"['Ks', 'As']",-1,0.78,-1,'Player IlxxxlI raises (1.50)'
FLOP,"['Ks', 'As']","['Qs', '4d', '5d']",0.16590726346823903,9, 'Player IlxxxlI bets (1.54)'
TURN,"['Ks', 'As']","['Qs', '4d', '5d', 'Jd']",0.17046368265880463,9, 'Player IlxxxlI checks'
RIVER,"['Ks', 'As']","['Qs', '4d', '5d', 'Jd', '7c']",0.1707317073170732,9, 'Player IlxxxlI bets (4.01)'
PREFLOP,"['7h', 'Qh']",-1,-0.06,-1,Player IlxxxlI folds
PREFLOP,"['Jd', 'Tc']",-1,-0.03,-1,Player IlxxxlI folds
PREFLOP,"['2h', 'Th']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['3h', '8h']",-1,-0.15,-1, 'Player IlxxxlI calls (0.40)'
FLOP,"['3h', '8h']","['4h', '4c', '5c']",0.23170731707317072,8, 'Player IlxxxlI checks'
TURN,"['3h', '8h']","['4h', '4c', '5c', 'Jd']",0.2392120075046904,8, 'Player IlxxxlI checks'
RIVER,"['3h', '8h']","['4h', '4c', '5c', 'Jd', 'Qs']",0.24577861163227022,8, 'Player IlxxxlI checks'
PREFLOP,"['Qd', '4h']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['2c', '6s']",-1,-0.12,-1, 'Player IlxxxlI checks'
FLOP,"['2c', '6s']","['3c', 'Kd', '4h']",0.06110962208523185,9, 'Player IlxxxlI bets (0.25)'
TURN,"['2c', '6s']","['3c', 'Kd', '4h', '5d']",0.7845081747520772,5, 'Player IlxxxlI bets (0.93)'
RIVER,"['2c', '6s']","['3c', 'Kd', '4h', '5d', '5c']",0.7845081747520772,5, 'Player IlxxxlI bets (3.25)'
PREFLOP,"['3d', '8h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['7h', 'As']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['3d', 'Js']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['Kh', 'Th']",-1,0.20,-1,Player IlxxxlI folds
PREFLOP,"['4s', '5c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Ks', 'Ac']",-1,0.51,-1, 'Player IlxxxlI raises (0.75)'
FLOP,"['Ks', 'Ac']","['4c', '3h', '7s']",0.15076387027606541,9, 'Player IlxxxlI bets (0.76)'
PREFLOP,"['3d', '5c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Ks', '2s']",-1,-0.09,-1,Player IlxxxlI folds
PREFLOP,"['Qd', '7c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['4h', '6d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Ks', 'Js']",-1,0.29,-1,Player IlxxxlI folds
PREFLOP,"['Ts', 'Qc']",-1,-0.02,-1,Player IlxxxlI folds
PREFLOP,"['6c', '2d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Qs', 'Kd']",-1,0.16,-1, 'Player IlxxxlI calls (1)'
FLOP,"['Qs', 'Kd']","['9h', '2d', 'Th']",0.09943714821763605,9, 'Player IlxxxlI checks'
TURN,"['Qs', 'Kd']","['9h', '2d', 'Th', '3s']",0.09957116054677029,9, 'Player IlxxxlI bets (1.54)'
RIVER,"['Qs', 'Kd']","['9h', '2d', 'Th', '3s', '2s']",0.1929777539533637,8, 'Player IlxxxlI checks'
PREFLOP,"['Ks', 'Qs']",-1,0.39,-1,'Player IlxxxlI raises (2)'
FLOP,"['Ks', 'Qs']","['2d', '6h', 'Jd']",0.10117930849638168,9, 'Player IlxxxlI checks'
PREFLOP,"['4h', '6d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Kh', '2h']",-1,-0.09,-1,Player IlxxxlI folds
PREFLOP,"['6d', '7s']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['2c', '4h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['7s', '9c']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['3h', '5c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Jh', '8c']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['Kc', '4c']",-1,-0.05,-1,Player IlxxxlI folds
PREFLOP,"['As', '6c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['7s', '6h']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['7h', 'Qc']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['9h', '9d']",-1,0.38,-1, 'Player IlxxxlI raises (4.50)'
FLOP,"['9h', '9d']","['Ac', '2s', '3s']",0.39962476547842396,8, 'Player IlxxxlI bets (2.50)'
PREFLOP,"['8h', 'Td']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['5d', '4d']",-1,-0.08,-1,Player IlxxxlI folds
PREFLOP,"['3d', 'Ah']",-1,-0.13,-1, 'Player IlxxxlI raises (1.15)'
PREFLOP,"['5s', '3d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Jh', '5c']",-1,-0.13,-1,
PREFLOP,"['Ks', '2d']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['Qs', '6h']",-1,-0.13,-1,
PREFLOP,"['5c', '4h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['As', '7s']",-1,0.08,-1,Player IlxxxlI folds
PREFLOP,"['Td', '4c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['7s', '4h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['As', 'Td']",-1,0.08,-1, 'Player IlxxxlI raises (1.15)'
PREFLOP,"['Jc', 'Ah']",-1,0.19,-1, 'Player IlxxxlI raises (1.40)'
PREFLOP,"['5c', 'Jc']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['5d', 'Td']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Ks', 'Qd']",-1,0.16,-1,Player IlxxxlI folds
PREFLOP,"['4d', 'Jd']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['5c', 'Jh']",-1,-0.13,-1,
PREFLOP,"['2c', '6c']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['5d', 'As']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['8h', 'Jd']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['8h', '6s']",-1,-0.11,-1, 'Player IlxxxlI calls (0.50)'
FLOP,"['8h', '6s']","['Tc', '4d', '2d']",0.00964888769766814,9, 'Player IlxxxlI checks'
TURN,"['8h', '6s']","['Tc', '4d', '2d', '9d']",0.0154114178504422,9, 'Player IlxxxlI bets (2)'
PREFLOP,"['Qs', '7s']",-1,-0.06,-1,Player IlxxxlI folds
PREFLOP,"['Kh', '9h']",-1,0.09,-1, 'Player IlxxxlI raises (1)'
PREFLOP,"['3d', 'Jd']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['Qd', '9c']",-1,-0.08,-1,Player IlxxxlI folds
PREFLOP,"['7s', '3s']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['7c', '8h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Th', '9h']",-1,0.05,-1, 'Player IlxxxlI raises (1.25)'
PREFLOP,"['Jh', '8c']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['Ah', '7d']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['9d', '8h']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['Ah', '2c']",-1,-0.15,-1,Player IlxxxlI folds
PREFLOP,"['8h', 'Js']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['Jd', '7s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['9h', 'Ts']",-1,-0.07,-1, 'Player IlxxxlI calls (0.50)'
FLOP,"['9h', 'Ts']","['6d', '6s', '4s']",0.29603323505762535,8, 'Player IlxxxlI checks'
TURN,"['9h', 'Ts']","['6d', '6s', '4s', '3d']",0.29603323505762535,8, 'Player IlxxxlI bets (2)'
PREFLOP,"['2c', '9c']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['Qd', 'Ts']",-1,-0.02,-1,Player IlxxxlI folds
PREFLOP,"['4h', 'Ts']",-1,-0.12,-1,Player IlxxxlI folds
