stage,hole_cards,comm_cards,hand_potential,hand_strength,action
PREFLOP,"['3d', '8c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Js', 'Ac']",-1,0.19,-1, 'Player IlxxxlI raises (1.50)'
PREFLOP,"['Td', '2d']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['Jc', 'Td']",-1,-0.03,-1,Player IlxxxlI folds
PREFLOP,"['4s', '3c']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['Qh', '9s']",-1,-0.08,-1,Player IlxxxlI folds
PREFLOP,"['5h', 'Ac']",-1,-0.12,-1, 'Player IlxxxlI raises (1.50)'
PREFLOP,"['Kd', '2h']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['6s', '8c']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['Jd', 'Qc']",-1,0.03,-1,Player IlxxxlI folds
PREFLOP,"['Kc', '9c']",-1,0.09,-1,Player IlxxxlI folds
PREFLOP,"['5h', 'Td']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Js', '6s']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['3d', '2d']",-1,-0.15,-1,Player IlxxxlI folds
PREFLOP,"['7d', '9c']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['5s', 'Ac']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['6c', '7s']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['2h', '9s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['7c', '9s']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['Th', 'Td']",-1,0.58,-1, 'Player IlxxxlI raises (3.50)'
PREFLOP,"['8s', '4h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['5h', 'Ad']",-1,-0.12,-1, 'Player IlxxxlI calls (1)'
FLOP,"['5h', 'Ad']","['Ac', '2s', '5d']",0.6561243634414367,7, 'Player IlxxxlI checks'
TURN,"['5h', 'Ad']","['Ac', '2s', '5d', 'Qd']",0.6573304744036451,7, 'Player IlxxxlI checks'
RIVER,"['5h', 'Ad']","['Ac', '2s', '5d', 'Qd', '2c']",0.6573304744036451,7, 'Player IlxxxlI checks'
PREFLOP,"['2c', '2s']",-1,-0.09,-1,Player IlxxxlI folds
PREFLOP,"['Qc', '2h']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['7s', '3c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Ah', '6d']",-1,-0.12,-1, 'Player IlxxxlI calls (0.50)'
FLOP,"['Ah', '6d']","['6s', '5h', '2d']",0.3115786652372018,8, 'Player IlxxxlI checks'
TURN,"['Ah', '6d']","['6s', '5h', '2d', 'Ad']",0.6580005360493165,7, 'Player IlxxxlI checks'
PREFLOP,"['3h', 'Tc']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['7d', 'Qc']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Qh', '8c']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['Qs', 'Jh']",-1,0.03,-1,Player IlxxxlI folds
PREFLOP,"['8c', 'Kd']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['7c', '2c']",-1,-0.15,-1,Player IlxxxlI folds
PREFLOP,"['Qh', '7s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Ac', 'Ks']",-1,0.51,-1, 'Player IlxxxlI raises (1.75)'
PREFLOP,"['Qs', '8s']",-1,-0.02,-1,Player IlxxxlI folds
PREFLOP,"['4c', '2c']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['8c', '4c']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['9h', '4s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Jd', '7s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['2d', '5h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Tc', '4h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['3h', 'Jc']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['6d', '9h']",-1,-0.12,-1, 'Player IlxxxlI checks'
FLOP,"['6d', '9h']","['6h', '7s', '6c']",0.7073170731707317,6, 'Player IlxxxlI checks'
TURN,"['6d', '9h']","['6h', '7s', '6c', 'Kd']",0.7116054677030287,6, 'Player IlxxxlI checks'
PREFLOP,"['Qd', '4h']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['Td', 'Qc']",-1,-0.02,-1, 'Player IlxxxlI calls (2)'
FLOP,"['Td', 'Qc']","['4d', 'Ac', '6c']",0.14165103189493433,9, 'Player IlxxxlI checks'
PREFLOP,"['Jh', '6s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Ad', 'Qd']",-1,0.59,-1, 'Player IlxxxlI raises (3.50)'
PREFLOP,"['9h', 'As']",-1,-0.03,-1,Player IlxxxlI folds
PREFLOP,"['2s', '3s']",-1,-0.15,-1,Player IlxxxlI folds
PREFLOP,"['Th', '8d']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['8c', '8h']",-1,0.25,-1,Player IlxxxlI folds
PREFLOP,"['Kd', '4c']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['8c', 'Js']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['Qh', '5s']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['4h', 'Ac']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Qd', '7h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['5h', '2s']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['3s', '9h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['6h', 'Qs']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['9h', 'Js']",-1,-0.09,-1,
PREFLOP,"['9d', '2d']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['3s', 'Qc']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['2c', '5h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['3h', '9c']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Jc', 'Kc']",-1,0.29,-1, 'Player IlxxxlI calls (3)'
FLOP,"['Jc', 'Kc']","['Js', '4s', '6d']",0.45363173411953894,8, 'Player IlxxxlI checks'
TURN,"['Jc', 'Kc']","['Js', '4s', '6d', '9h']",0.45590994371482174,8, 'Player IlxxxlI bets (12)'
RIVER,"['Jc', 'Kc']","['Js', '4s', '6d', '9h', '4h']",0.6116322701688555,7, 'Player IlxxxlI allin (24)'
PREFLOP,"['Ad', 'Kd']",-1,0.78,-1, 'Player IlxxxlI raises (7)'
PREFLOP,"['6h', '3d']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['7s', 'Ah']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['Ts', 'As']",-1,0.32,-1, 'Player IlxxxlI calls (1.50)'
FLOP,"['Ts', 'As']","['9s', '8c', '3d']",0.12114714553738948,9, 'Player IlxxxlI checks'
TURN,"['Ts', 'As']","['9s', '8c', '3d', '2d']",0.12114714553738948,9, 'Player IlxxxlI checks'
PREFLOP,"['9c', '8d']",-1,-0.10,-1,Player IlxxxlI folds
PREFLOP,"['Kh', '2s']",-1,-0.14,-1,Player IlxxxlI folds
PREFLOP,"['6h', 'Ts']",-1,-0.11,-1,Player IlxxxlI folds
PREFLOP,"['Qc', '6h']",-1,-0.13,-1,Player IlxxxlI folds
PREFLOP,"['2c', '5h']",-1,-0.12,-1,Player IlxxxlI folds
PREFLOP,"['Jd', '8d']",-1,-0.03,-1, 'Player IlxxxlI calls (2)'
